name_medieval,name_modern,lat,lon,part,tier,note
Moguntia,Mainz,49.993,8.247,Europa,3,Archbishopric of the Rhine
Treveris,Trier,49.759,6.644,Europa,3,Oldest city of Germany
Ratisbona,Regensburg,49.019,12.098,Europa,3,Danube trade city
Norimberga,Nuremberg,49.454,11.077,Europa,3,Imperial free city
Lubeca,Lübeck,53.866,10.687,Europa,2,Queen of the Hanseatic League
Hammaburg,Hamburg,53.551,9.993,Europa,3,Hanseatic Elbe port
Vindobona,Vienna,48.208,16.373,Europa,2,Danube seat of the dukes
Praga,Prague,50.076,14.438,Europa,2,Capital of Bohemia
Cracovia,Kraków,50.062,19.937,Europa,2,Capital of Poland
Kiovia,Kyiv,50.451,30.523,Europa,2,Mother of the Rus' cities
Novogardia,Novgorod,58.521,31.271,Europa,3,Northern Rus' republic
Moscovia,Moscow,55.751,37.618,Europa,3,Rising Rus' principality
Cantuaria,Canterbury,51.279,1.083,Europa,3,Seat of the English Church
Eboracum,York,53.96,-1.081,Europa,3,Northern English see
Dublinia,Dublin,53.35,-6.26,Europa,3,Norse-Irish port
Edinburgum,Edinburgh,55.953,-3.188,Europa,3,Seat of the Scots
Thessalonica,Thessaloniki,40.64,22.944,Europa,2,Second city of the Greeks
Athenae,Athens,37.984,23.728,Europa,3,Ancient seat of philosophy
Nicaea,İznik,40.428,29.719,Asia,3,City of the great Councils
Smyrna,İzmir,38.419,27.129,Asia,3,Aegean port
Ephesus,Selçuk,37.941,27.341,Asia,3,City of the Seven Sleepers
Trapezus,Trabzon,41.005,39.723,Asia,2,Empire on the Black Sea
Caffa,Feodosia,45.031,35.382,Europa,3,Genoese colony of Crimea
Tana,Azov,47.112,39.423,Europa,3,"Mouth of the Tanais, Silk Road terminus"
Accon,Acre,32.928,35.082,Asia,2,Chief crusader port
Tyrus,Tyre,33.271,35.194,Asia,3,Phoenician sea-city
Tripolis,Tripoli (Lebanon),34.436,35.844,Asia,3,Crusader county
Berrhoea,Aleppo,36.202,37.134,Asia,2,Great Syrian trade city
Edessa,Şanlıurfa,37.158,38.791,Asia,3,First crusader county
Bethleem,Bethlehem,31.705,35.203,Asia,3,Birthplace of Christ
Petra,Petra,30.329,35.444,Asia,3,Rock city of Arabia
Tarsus,Tarsus,36.917,34.895,Asia,3,Birthplace of St Paul
Ninive,Mosul,36.36,43.152,Asia,3,Ancient Nineveh of the Assyrians
Ctesiphon,Ctesiphon,33.093,44.581,Asia,3,Old Persian capital
Basora,Basra,30.508,47.784,Asia,3,Gulf port of Mesopotamia
Tauris,Tabriz,38.08,46.293,Asia,2,Great city of the Mongol Ilkhans
Ispahan,Isfahan,32.654,51.668,Asia,3,City of central Persia
Ormus,Hormuz,27.1,56.461,Asia,2,Spice-emporium of the Gulf
Merva,Merv,37.66,62.192,Asia,3,Silk Road oasis of Khorasan
Bochara,Bukhara,39.767,64.421,Asia,3,Learned city of Transoxiana
Samarcanda,Samarkand,39.654,66.96,Asia,2,Capital of Tamerlane
Cabul,Kabul,34.528,69.172,Asia,3,Gate to India
Delli,Delhi,28.651,77.231,Asia,2,Sultanate of India
Aden,Aden,12.788,45.03,Asia,3,Arabian gate of the Indian Ocean
Carthago,Carthage/Tunis,36.853,10.323,Africa,2,"Old rival of Rome, now Tunis"
Cairoan,Kairouan,35.681,10.1,Africa,3,Holy city of the Maghreb
Tripolis Barbariae,Tripoli (Libya),32.887,13.191,Africa,3,Barbary coast port
Fessa,Fès,34.033,-5.0,Africa,2,Learned capital of Morocco
Marrochium,Marrakesh,31.63,-7.981,Africa,3,Almohad capital
Ceuta,Ceuta,35.889,-5.32,Africa,3,Strait fortress
Tingis,Tangier,35.783,-5.813,Africa,3,"Pillar of Hercules, African side"
Tombuctu,Timbuktu,16.775,-3.009,Africa,3,Gold city beyond the sand-sea
Dongola,Dongola,19.17,30.482,Africa,3,Christian Nubian kingdom
Axuma,Axum,14.13,38.719,Africa,3,Realm of Prester John (Ethiopia)
Salmantica,Salamanca,40.965,-5.664,Europa,3,University of Castile
Conimbriga,Coimbra,40.211,-8.429,Europa,3,Portuguese see
